Crime,Year,Incidents,name
Arson,2013,3,Alexandra Road
Arson,2014,0,Alexandra Road
Carjacking,2013,19,Alexandra Road
Carjacking,2014,1,Alexandra Road
Malicious injury to property,2013,222,Alexandra Road
Malicious injury to property,2014,13,Alexandra Road
Arson,2013,5,Amangwe
Arson,2014,2,Amangwe
Carjacking,2013,0,Amangwe
Carjacking,2014,1,Amangwe
Malicious injury to property,2013,18,Amangwe
Malicious injury to property,2014,18,Amangwe
Arson,2013,3,Amanzimtoti
Arson,2014,5,Amanzimtoti
Carjacking,2013,80,Amanzimtoti
Carjacking,2014,43,Amanzimtoti
Malicious injury to property,2013,148,Amanzimtoti
Malicious injury to property,2014,165,Amanzimtoti
Arson,2013,6,Babanango
Arson,2014,3,Babanango
Carjacking,2013,0,Babanango
Carjacking,2014,0,Babanango
Malicious injury to property,2013,22,Babanango
Malicious injury to property,2014,22,Babanango
Arson,2013,8,Bayview
Arson,2014,3,Bayview
Carjacking,2013,98,Bayview
Carjacking,2014,43,Bayview
Malicious injury to property,2013,92,Bayview
Malicious injury to property,2014,93,Bayview
Arson,2013,6,Bellair
Arson,2014,1,Bellair
Carjacking,2013,48,Bellair
Carjacking,2014,22,Bellair
Malicious injury to property,2013,54,Bellair
Malicious injury to property,2014,43,Bellair
Arson,2013,0,Berea
Arson,2014,0,Berea
Carjacking,2013,47,Berea
Carjacking,2014,34,Berea
Malicious injury to property,2013,172,Berea
Malicious injury to property,2014,186,Berea
Arson,2013,5,Bergville
Arson,2014,11,Bergville
Carjacking,2013,2,Bergville
Carjacking,2014,1,Bergville
Malicious injury to property,2013,50,Bergville
Malicious injury to property,2014,52,Bergville
Arson,2013,0,Besters
Arson,2014,3,Besters
Carjacking,2013,0,Besters
Carjacking,2014,0,Besters
Malicious injury to property,2013,42,Besters
Malicious injury to property,2014,33,Besters
Arson,2013,9,Bhekithemba
Arson,2014,15,Bhekithemba
Carjacking,2013,32,Bhekithemba
Carjacking,2014,34,Bhekithemba
Malicious injury to property,2013,144,Bhekithemba
Malicious injury to property,2014,171,Bhekithemba
Arson,2013,0,Bishopstowe
Arson,2014,0,Bishopstowe
Carjacking,2013,0,Bishopstowe
Carjacking,2014,1,Bishopstowe
Malicious injury to property,2013,12,Bishopstowe
Malicious injury to property,2014,13,Bishopstowe
Arson,2013,0,Boston
Arson,2014,0,Boston
Carjacking,2013,2,Boston
Carjacking,2014,0,Boston
Malicious injury to property,2013,4,Boston
Malicious injury to property,2014,8,Boston
Arson,2013,1,Brighton Beach
