I_D,YEAR,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_N,LATITUDE,LONGITUDE,REGION_COD,DEATHS
5557,2000,7.600000000000000,,INDONESIA,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105000000000000,123.572999999999993,170,46
5560,2000,7.900000000000000,6,INDONESIA,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721000000000000,102.087000000000003,170,103
5584,2000,6.800000000000000,,AZERBAIJAN,AZERBAIJAN:  BAKU,40.244999999999997,49.945999999999998,40,31
5585,2000,7.000000000000000,,TURKMENISTAN,TURKMENISTAN:  NEBITDAG-TURKMENBASHI,39.566000000000003,54.798999999999999,40,11
5587,2001,7.700000000000000,8,EL SALVADOR,EL SALVADOR:  DAMAGE & INJURIES IN EVERY DEPT.,13.048999999999999,-88.659999999999997,100,844
5589,2001,7.700000000000000,10,INDIA,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",23.419000000000000,70.231999999999999,60,20005
5592,2001,6.600000000000000,6,EL SALVADOR,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.670999999999999,-88.938000000000002,100,315
5601,2001,8.400000000000000,8,PERU,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",-16.265000000000001,-73.641000000000005,160,77
5620,2002,6.500000000000000,,TURKEY,TURKEY:  AFYON,38.573000000000000,31.271000000000001,140,44
5624,2002,7.400000000000000,,AFGHANISTAN,"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ",36.502000000000002,70.481999999999999,40,166
5625,2002,7.500000000000000,,PHILIPPINES,PHILIPPINES:  MINDANAO,6.033000000000000,124.248999999999995,170,15
5626,2002,6.100000000000000,,AFGHANISTAN,"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN",36.061999999999998,69.314999999999998,40,1000
5629,2002,5.900000000000000,,TAJIKISTAN,"TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN",39.959000000000003,69.417000000000002,40,50
5639,2002,6.500000000000000,8,IRAN,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,35.625999999999998,49.046999999999997,140,261
5644,2002,6.200000000000000,,INDONESIA,INDONESIA:   SULAWESI:  TOJO,-1.196000000000000,121.332999999999998,170,48
5660,2002,5.700000000000000,,ITALY,"ITALY:  SAN GUILIANO DI PUGLIA, CAMPOBASSO",41.789000000000001,14.872000000000000,130,29
5661,2002,5.400000000000000,,PAKISTAN,PAKISTAN:  GILGIT,35.517000000000003,74.653999999999996,60,11
5664,2002,6.300000000000000,,PAKISTAN,"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN",35.414000000000001,74.515000000000001,60,19
5673,2003,7.500000000000000,8,MEXICO,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",18.770000000000000,-104.103999999999999,150,29
5682,2003,6.300000000000000,,CHINA,CHINA:  S. XINJIANG:  BACHU,39.609999999999999,77.230000000000004,40,261
5692,2003,6.400000000000000,,TURKEY,TURKEY:  BINGOL,39.006999999999998,40.463999999999999,140,177
5694,2003,6.800000000000000,10,ALGERIA,"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA",36.963999999999999,3.634000000000000,15,2266
5707,2003,5.900000000000000,,CHINA,CHINA:  YUNNAN PROVINCE,25.975000000000001,101.290000000000006,30,16
5738,2003,6.000000000000000,,CHINA,CHINA:  XINJIANG:  ZHAOSU,42.905000000000001,80.515000000000001,40,11
5751,2003,6.600000000000000,9,IRAN,"IRAN:  SOUTHEASTERN:  BAM, BARAVAT",28.995000000000001,58.311000000000000,140,31000
5758,2004,7.000000000000000,,INDONESIA,INDONESIA:  NABIRE,-3.615000000000000,135.538000000000011,170,37
5761,2004,5.400000000000000,,PAKISTAN,"PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA",34.774000000000001,73.215999999999994,60,24
5765,2004,6.400000000000000,9,MOROCCO,"MOROCCO:  AL HOCEIMA, IMZOURENE, BENI ABDALLAH",35.142000000000003,-3.997000000000000,15,628
5783,2004,6.300000000000000,,IRAN,"IRAN:  MAZANDARAN, QAZVIN, TEHRAN",36.289999999999999,51.609999999999999,140,35
5787,2004,5.100000000000000,,TURKEY,TURKEY:  DOGUBEYAZIT,39.765999999999998,43.978999999999999,140,18
5807,2004,6.600000000000000,,JAPAN,JAPAN:  HONSHU:  NIIGATA PREFECTURE,37.225999999999999,138.778999999999996,30,40
5810,2004,7.500000000000000,,INDONESIA,INDONESIA:  KEPULAUAN ALOR,-8.151999999999999,124.867999999999995,170,34
5817,2004,7.100000000000000,8,INDONESIA,INDONESIA:  NABIRE,-3.609000000000000,135.403999999999996,170,32
5823,2004,9.100000000000000,,INDONESIA,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,3.316000000000000,95.853999999999999,170,1001
5848,2005,6.400000000000000,,IRAN,IRAN:  KERMAN PROVINCE:  ZARAND,30.754000000000001,56.816000000000003,140,612
6657,2005,8.600000000000000,,INDONESIA,INDONESIA:  SUMATERA:  SW,2.085000000000000,97.108000000000004,170,1303
8135,2005,7.700000000000000,,CHILE,CHILE:  TARAPACA,-19.986999999999998,-69.197000000000003,160,11
