create_dt,location_y,compnt_nm,location_x,version
20140207,-29.2362,BOTSHABELO,26.71606,1.1.0
20140207,-32.56819,KUBUSIEDRIFT,27.62384,1.1.0
20140207,-32.57118,STUTTERHEIM,27.42741,1.1.0
20140207,-33.79664,MOTHERWELL,25.58419,1.1.0
20140207,-33.84109,KWADWESI,25.52347,1.1.0
20140207,-32.1756,CRADOCK,25.62571,1.1.0
20140207,-27.51294,NOENIEPUT,20.14278,1.1.0
20140207,-31.47124,INDWE,27.33555,1.1.0
20140207,-31.16777,ROSSOUW,27.27997,1.1.0
20140207,-30.80423,ELANDS HEIGHT,28.22494,1.1.0
20140207,-31.06708,MACLEAR,28.34897,1.1.0
20140207,-33.29291,WOLWEFONTEIN,24.82834,1.1.0
20140207,-33.54769,ADDO,25.69029,1.1.0
20140207,-26.27889,KWA THEMA,28.39438,1.1.0
20140207,-26.23481,BRAKPAN,28.36257,1.1.0
20140207,-30.24156,SWARTBERG,29.33874,1.1.0
20140207,-30.20976,SMITHFIELD,26.53167,1.1.0
20140207,-28.08577,VENTERSBURG,27.13605,1.1.0
20140207,-28.40042,THEUNISSEN,26.71208,1.1.0
20140207,-27.97483,THABONG,26.78051,1.1.0
20140207,-26.16052,HENDRINA,29.71433,1.1.0
20140207,-25.36766,LAERSDRIFT,29.85622,1.1.0
20140207,-24.96968,MARBLE HALL,29.29687,1.1.0
20140207,-25.64433,WATERVAL BOVEN,30.32545,1.1.0
20140207,-26.54172,EVATON,27.85719,1.1.0
20140207,-29.14242,HEIDEDAL,26.25019,1.1.0
20140207,-29.25967,BOITHUSO,26.67399,1.1.0
20140207,-28.91602,CLOCOLAN,27.56798,1.1.0
20140207,-31.37425,NIEUWOUDTVILLE,19.11703,1.1.0
20140207,-23.85429,SESHEGO,29.38227,1.1.0
20140207,-23.88506,MANKWENG,29.72669,1.1.0
20140207,-26.3619,KATLEHONG,28.1571,1.1.0
20140207,-27.16835,PERDEKOP,29.62148,1.1.0
20140207,-30.30455,ZASTRON,27.08167,1.1.0
20140207,-29.64474,VERULAM,31.04136,1.1.0
20140207,-25.6174,MMAKAU,27.94101,1.1.0
20140207,-23.86649,LULEKANI,31.08104,1.1.0
20140207,-23.30664,HLANGANANI,30.29724,1.1.0
20140207,-32.32437,MSOBOMVU,28.186,1.1.0
20140207,-30.95517,NTABANKULU,29.30275,1.1.0
20140207,-30.26205,MALUTI,28.78647,1.1.0
20140207,-30.64249,LUKHOLWENI,28.85494,1.1.0
20140207,-26.18637,SUNDRA,28.55062,1.1.0
20140207,-26.95942,VRYBURG,24.72628,1.1.0
20140207,-32.57532,KOMGA,27.89203,1.1.0
20140207,-32.15174,GRAAFWATER,18.60647,1.1.0
20140207,-29.66587,SPRINGBOK,17.88498,1.1.0
20140207,-28.60706,ALEXANDER BAY,16.49218,1.1.0
20140207,-30.56504,GARIES,17.99024,1.1.0
20140207,-30.32269,HONDEKLIP BAY,17.27415,1.1.0
20140207,-29.26636,STEINKOPF,17.73565,1.1.0
20140207,-28.76911,VIOOLSDRIF,17.62354,1.1.0
20140207,-27.54544,MAGUDU,31.64838,1.1.0
20140207,-26.18823,HILLBROW,28.04464,1.1.0
20140207,-25.6489,SWARTRUGGENS,26.68895,1.1.0
20140207,-25.53974,ZEERUST,26.07897,1.1.0
20140207,-33.99243,VILLIERSDORP,19.28734,1.1.0
20140207,-34.53644,BREDASDORP,20.04727,1.1.0
20140207,-34.23493,CALEDON,19.42919,1.1.0
20140207,-34.57818,GANS BAY,19.35139,1.1.0
20140207,-28.72135,SOUTPAN,26.06093,1.1.0
20140207,-26.22145,MEADOWLANDS,27.90026,1.1.0
20140207,-26.24489,SPRINGS,28.44266,1.1.0
20140207,-33.31163,GRAHAMSTOWN,26.53445,1.1.0
20140207,-30.69442,MALETSWAI,26.69165,1.1.0
20140207,-22.38491,TSHAMUTUMBU,30.54586,1.1.0
20140207,-25.8383,MMABATHO,25.6069,1.1.0
20140207,-25.8949,LOMANYANENG,25.65939,1.1.0
20140207,-26.08725,ITSOSENG,25.88043,1.1.0
20140207,-26.25351,MOOIFONTEIN,25.60272,1.1.0
20140207,-26.42189,MADIBOGO,25.1507,1.1.0
20140207,-29.97721,BHEKITHEMBA,30.86016,1.1.0
20140207,-33.96262,RONDEBOSCH,18.46833,1.1.0
20140207,-34.10872,MUIZENBERG,18.46663,1.1.0
20140207,-33.80517,ROBERTSON,19.87543,1.1.0
20140207,-30.46407,BRANDVLEI,20.4897,1.1.0
20140207,-28.31341,WASBANK,30.10001,1.1.0
20140207,-28.90237,ESHOWE,31.45689,1.1.0
20140207,-29.02791,GINGINDLOVU,31.58145,1.1.0
20140207,-28.5988,KWAMBONAMBI,32.0859,1.1.0
20140207,-29.07975,NYONI,31.46301,1.1.0
20140207,-28.37593,BABANANGO,31.08263,1.1.0
20140207,-32.6788,KEI MOUTH,28.37477,1.1.0
20140207,-32.87139,KING WILLIAM'S TOWN,27.39139,1.1.0
20140207,-32.70575,KEI ROAD,27.54653,1.1.0
20140207,-33.14929,KIDDS BEACH,27.69525,1.1.0
20140207,-28.59162,MELMOTH,31.39876,1.1.0
20140207,-29.87238,RICHMOND-KZN,30.26986,1.1.0
20140207,-29.4337,WARTBURG,30.5768,1.1.0
20140207,-25.71357,MAMELODI EAST,28.39609,1.1.0
20140207,-29.73592,KWAMASHU E,31.00027,1.1.0
20140207,-34.11561,LWANDLE,18.86718,1.1.0
20140207,-22.8985,MPHEPHU,30.03913,1.1.0
20140207,-31.91087,FRASERBURG,21.5136,1.1.0
20140207,-27.4621,GROENVLEI,30.23121,1.1.0
20140207,-30.03691,EVATT,29.35065,1.1.0
20140207,-33.06903,PUNZANA,27.44577,1.1.0
